EmployeeId,CostCenter,CostCenterDesc,BirthDate,OriginalHireDate,LatestHireDate,IsPerdiem,LocationCode,PositionCode,PositionDesc,PosStartDate,YearsOfExp,Fte,SupEmployeeId,MgrEmployeeId,DirEmployeeId,TermDate,TermReason1,TermReason2,Posit
10-1020,10685,T9-NICU,06/15/1953,09/09/1974,01/13/1986,N,MAIN,20685NURRN04,RN 4 - NICU,01/13/1986,45.58,0.9,10-8012,10-8012,10-8260,,,,RN 4 - NICU
10-1026,10685,T9-NICU,08/30/1968,06/13/1994,06/13/1994,N,MAIN,20685NURRN04,RN 4 - NICU,06/13/1994,27.08,0.9,10-8012,10-8012,10-8260,,,,RN 4 - NICU
10-1034,10693,Hospital Infusion Nurse,11/30/1955,12/10/1990,12/10/1990,N,MAIN,20695NURINF3,RN 3 - Hospital Infusion,12/10/1990,34.98,1,10-5703,10-5703,10-5703,,,,RN 3 - Hospital Infusion
10-1042,10685,T9-NICU,04/06/1951,09/09/1985,09/09/1985,N,MAIN,20685NURRN03,RN 3 - NICU,09/09/1985,39.55,0.3,10-8012,10-8012,10-8260,,,,RN 3 - NICU
10-1248,10700,OR,05/09/1957,06/29/1993,06/29/1993,N,MAIN,20700PCAORAD,OR Aide,06/29/1993,26.05,1,10-2338,10-100762,10-13823,,,,OR Aide
10-1584,40953,President & Corp Admin,09/15/1953,01/03/1977,01/03/1977,N,MAIN,10950ADMVCOO,CFH Chief Operating Officer,09/18/2016,42.52,1,10-104692,10-104692,10-104692,,,,CFH Chief Operating Officer
10-1620,10861,Therapy-Acute,03/05/1958,12/05/1990,12/05/1990,N,MAIN,20861OTAACTL,Lead COTA - Therapy Acute,09/03/2017,28.6,1,10-103241,10-11458,10-11458,,,,Lead COTA - Therapy Acute
10-1643,10700,OR,05/06/1967,05/01/1995,05/01/1995,N,MAIN,20700SURST0B,Surg Tech - OR(B),05/01/1995,24.2,1,10-9336,10-100762,10-13823,,,,Surg Tech - OR(B)
10-1946,10685,T9-NICU,10/14/1970,05/24/1990,05/24/1990,N,MAIN,20685NURRN02,RN 2 - NICU,05/24/1990,28.49,0.9,10-8012,10-8012,10-8260,,,,RN 2 - NICU
10-2008,10736,CT7A-CCU,12/13/1964,06/08/1992,06/08/1992,N,MAIN,20736NURRN03,RN 3 - CCU,06/08/1992,27.09,0.9,10-6970,10-6970,10-2820,,,,RN 3 - CCU
10-2012,10736,CT7A-CCU,01/24/1970,05/24/1990,05/24/1990,N,MAIN,20736NURRN02,RN 2 - CCU,05/24/1990,28.13,0.9,10-6970,10-6970,10-2820,,,,RN 2 - CCU
10-2322,10710,T10-Labor and Delivery,03/23/1955,03/23/1981,03/23/1981,N,MAIN,20710SURST01,Surg Tech - L&D Day,07/01/2007,13.87,0,10-100593,10-100593,10-8260,,,,Surg Tech - L&D Day
10-2330,10705,PACU,01/21/1940,01/07/1974,01/07/1974,N,MAIN,20705HCSPACU,HCT Sr - PACU,01/07/1974,47.51,1,10-104480,10-104480,10-13823,,,,HCT Sr - PACU
10-2338,10700,OR,03/20/1965,08/28/1989,08/28/1989,N,MAIN,OR-SPRV-IPRN,RN Spvr - OR(A),12/18/2011,17.83,1,10-100762,10-100762,10-13823,,,,RN Spvr - OR(A)
10-2347,10700,OR,01/30/1962,06/01/1981,06/01/1981,N,MAIN,20700SURSVC,Surg Tech Svc Line Crd - OR,03/09/2014,38.14,1,10-100762,10-100762,10-13823,,,,Surg Tech Svc Line Crd - OR
10-2349,10981,House Officer,12/29/1953,09/08/1980,09/08/1980,N,MAIN,20981NCDHOFF,RN - House Administrator,09/08/1980,38.84,0.6,10-11749,10-5703,10-5703,,,,RN - House Administrator
10-2357,10700,OR,07/21/1955,06/02/1980,06/02/1980,N,MAIN,20700NURRN3B,RN 3 - OR(B),06/02/1980,43.11,0.6,10-9336,10-100762,10-13823,,,,RN 3 - OR(B)
10-2358,10700,OR,05/12/1963,08/01/1988,08/01/1988,N,MAIN,OR-SPRV-CDSK,RN 2 Svc Line Crd -OR Ctrl Dsk,12/18/2011,21.16,1,10-100762,10-100762,10-13823,,,,RN 2 Svc Line Crd -OR Ctrl Dsk
